axis,metric,coarse,baseline,fine,change_mode,coarse_to_baseline_change,baseline_to_fine_change,tolerance,pass,refinement_trend_improved
field_mesh,D_100,0.002526515087190125,0.0026097950669075887,0.0026535369374872803,relative,0.031910543771601296,0.01648436468388195,0.02,True,True
field_mesh,D_500,0.0024676836102434973,0.0025486032154768347,0.002591123574336611,relative,0.03175057017190402,0.01641000810648818,0.02,True,True
field_mesh,D_1000,0.002274809333858427,0.002348944929311248,0.0023879485454063594,relative,0.03156123182273113,0.016333524510040887,0.02,True,True
field_mesh,w_100,25791.5954767719,25700.98361557631,25654.761148113346,relative,0.003525618417992133,0.0018017110818575814,0.005,True,True
field_mesh,w_500,25846.393336217974,25757.75760614757,25712.567248005696,relative,0.0034411275789492397,0.0017575202703797989,0.005,True,True
field_mesh,w_1000,26006.94481677311,25924.05240248101,25881.86483107479,relative,0.0031975099033577647,0.0016300050897248522,0.005,True,True
field_mesh,D_low,0.0025233312192699865,0.0026063033292565933,0.002649886484855458,relative,0.03183517016427757,0.01644717834063827,0.02,True,True
field_mesh,w_low,25796.715770412997,25706.288827944147,25660.162915776677,relative,0.003517697286998152,0.0017975689522653252,0.005,True,True
field_mesh,law_residual_1ghz,0.008550548044218164,0.00888517570614127,0.00906038030627994,absolute,0.00033462766192310714,0.00017520460013866965,0.002,True,True
field_mesh,max_kernel_fit_1ghz,0.00016742979312774406,0.00017384869639463116,0.00017720974175100445,absolute,6.4189032668871e-06,3.3610453563732903e-06,2e-05,True,True
field_mesh,D_out,-2.6279840236988984e-12,1.9037662960878064e-12,8.605376477178534e-12,scaled_absolute,1.707815050834742e-09,2.525538682509051e-09,0.01,True,False
field_mesh,D_in,0.004875711305542441,0.004871053625089546,0.004868699761007422,relative,0.0009561956840105312,0.00048346872834020247,0.02,True,True
source_quadrature,D_100,0.0026100300027272084,0.0026097950669075887,0.002609708155051558,relative,9.002079228316279e-05,3.3303285603943845e-05,0.02,True,True
source_quadrature,D_500,0.0025488383902703983,0.0025486032154768347,0.0025485158706099738,relative,9.227595419149728e-05,3.4272836150725935e-05,0.02,True,True
source_quadrature,D_1000,0.002349179905628223,0.002348944929311248,0.0023488566352878847,relative,0.00010003483438142825,3.759021390960498e-05,0.02,True,True
source_quadrature,w_100,25700.860359400744,25700.98361557631,25701.03576509945,relative,4.795776590165325e-06,2.0290825480162385e-06,0.005,True,True
source_quadrature,w_500,25757.636753555107,25757.75760614757,25757.809127182,relative,4.691891053210641e-06,2.000210273190199e-06,0.005,True,True
source_quadrature,w_1000,25923.93956835291,25924.05240248101,25924.101563444077,relative,4.35248804269803e-06,1.8963420177139306e-06,0.005,True,True
source_quadrature,D_low,0.0026065383077502014,0.0026063033292565933,0.002606216366010788,relative,9.015776904034026e-05,3.336762324862074e-05,0.02,True,True
source_quadrature,w_low,25706.165787957496,25706.288827944147,25706.34091808518,relative,4.786376885219099e-06,2.0263537778697115e-06,0.005,True,True
source_quadrature,law_residual_1ghz,0.008885596236410635,0.00888517570614127,0.008885052859480588,absolute,4.2053026936411664e-07,1.228466606825046e-07,0.002,True,True
source_quadrature,max_kernel_fit_1ghz,0.000173862412589129,0.00017384869639463116,0.0001738400230303683,absolute,1.3716194497846636e-08,8.673364262857999e-09,2e-05,True,True
source_quadrature,D_out,1.9037662960878064e-12,1.9037662960878064e-12,1.9037662960878064e-12,scaled_absolute,0.0,0.0,0.01,True,True
source_quadrature,D_in,0.004871053625089546,0.004871053625089546,0.004871053625089546,relative,0.0,0.0,0.02,True,True
trajectory_step,D_100,0.0026098230807441794,0.0026097950669075887,0.002609808123854364,relative,1.0734113550122088e-05,5.003029401346564e-06,0.02,True,True
trajectory_step,D_500,0.002548625343256534,0.0025486032154768347,0.002548617907022127,relative,8.682316480220556e-06,5.7645146618130485e-06,0.02,True,True
trajectory_step,D_1000,0.0023489507864837764,0.002348944929311248,0.0023489642257215958,relative,2.4935333541247057e-06,8.214859186159625e-06,0.02,True,False
trajectory_step,w_100,25700.95091140534,25700.98361557631,25700.961950564397,relative,1.2724871335949654e-06,8.42965020385811e-07,0.005,True,True
trajectory_step,w_500,25757.727562891963,25757.75760614757,25757.73543391676,relative,1.1663769830530414e-06,8.607989186656691e-07,0.005,True,True
trajectory_step,w_1000,25924.0289886958,25924.05240248101,25924.02910094906,relative,9.031684107833715e-07,8.988391372053233e-07,0.005,True,True
trajectory_step,D_low,0.002606330657236269,0.0026063033292565933,0.0026063165493404945,relative,1.048534119911178e-05,5.072324735317257e-06,0.02,True,True
trajectory_step,w_low,25706.256373060212,25706.288827944147,25706.267111741385,relative,1.2625270085320857e-06,8.447824286443053e-07,0.005,True,True
trajectory_step,law_residual_1ghz,0.008885580716440722,0.00888517570614127,0.008885108196848101,absolute,4.050102994507254e-07,6.750929316956533e-08,0.002,True,True
trajectory_step,max_kernel_fit_1ghz,0.0001738314361966126,0.00017384869639463116,0.0001738501666821431,absolute,1.7260198018564064e-08,1.4702875119384628e-09,2e-05,True,True
trajectory_step,D_out,1.0843296428570026e-08,1.9037662960878064e-12,1.5968599645127323e-12,scaled_absolute,4.1540956835794276e-06,1.1759727804119616e-10,0.01,True,True
trajectory_step,D_in,0.004871081010267011,0.004871053625089546,0.004871046180158078,relative,5.622023400451981e-06,1.5284050269357083e-06,0.02,True,True
